5
[JAC]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
1800	4420	50	53	75	69	42	36	26	71	177	50	97	165	427	405	110	19	27	25	35	131	177	216	357	393	336	290	1634	539	1348	924	14	
1800	43	1	1	1	0	0	1	1	1	1	1	1	2	2	0	0	1	1	1	1	1	0	2	3	1	4	3	20	6	16	6	15	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	

[DJM]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
400	586	139	145	177	168	136	119	99	168	238	178	221	239	352	323	255	153	137	162	182	253	230	329	302	347	335	336	436	396	378	328	4	
600	1479	154	164	207	210	126	116	90	156	312	187	270	329	556	585	339	136	140	140	210	377	390	537	493	557	530	535	971	713	826	647	10	
800	2252	105	117	167	175	97	72	59	105	291	139	213	262	556	570	299	105	95	99	130	357	363	466	470	590	531	608	1236	763	1075	830	16	
1000	3062	99	101	157	157	82	70	58	81	287	108	214	254	559	571	296	89	72	75	102	352	423	457	514	627	527	628	1524	840	1296	955	16	
1200	4877	102	91	146	144	79	65	52	93	308	91	207	261	653	697	292	59	59	69	90	329	423	453	525	596	650	690	1888	1012	1771	1247	16	
1400	5732	70	77	136	142	42	62	56	67	255	47	170	249	596	640	221	32	29	45	70	282	413	448	589	689	561	644	2133	875	1871	1214	26	
1600	4891	45	31	82	81	21	38	37	41	180	31	103	138	431	468	141	17	22	32	41	180	319	295	415	477	345	431	1882	666	1547	926	19	
1800	4420	40	32	49	42	17	24	17	31	125	14	71	112	264	319	106	10	14	11	21	125	210	192	295	346	284	291	1393	462	1224	711	14	
1800	43	1	1	1	0	0	1	1	1	2	0	1	1	0	2	1	0	0	0	1	0	1	3	3	3	3	2	15	3	13	3	10	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	

